n,r,m
(:EntityType {label: '养殖方式'}),[:具有],"(:Entity {name: '池塘鱼虾混养', label: '养殖方式'})"
(:EntityType {label: '养殖方式'}),[:具有],"(:Entity {name: '池塘养殖', label: '养殖方式'})"
(:EntityType {label: '养殖方式'}),[:具有],"(:Entity {name: '对虾混养', label: '养殖方式'})"
(:EntityType {label: '养殖方式'}),[:具有],"(:Entity {name: '海水网箱', label: '养殖方式'})"
(:EntityType {label: '养殖方式'}),[:具有],"(:Entity {name: '水泥池培育', label: '养殖方式'})"
(:EntityType {label: '养殖方式'}),[:具有],"(:Entity {name: '土池培育', label: '养殖方式'})"
(:EntityType {label: '养殖方式'}),[:具有],"(:Entity {name: '深水网箱养殖', label: '养殖方式'})"
(:EntityType {label: '养殖方式'}),[:具有],"(:Entity {name: '深海网箱养殖', label: '养殖方式'})"
(:EntityType {label: '养殖方式'}),[:具有],"(:Entity {name: '一次性放苗，2批次渔获', label: '养殖方式'})"
(:EntityType {label: '养殖方式'}),[:具有],"(:Entity {name: '一次性放苗，3批次渔获', label: '养殖方式'})"
(:EntityType {label: '养殖方式'}),[:具有],"(:Entity {name: '网箱深海养殖', label: '养殖方式'})"
(:EntityType {label: '养殖方式'}),[:具有],"(:Entity {name: '一次性放苗，1批次渔获', label: '养殖方式'})"
(:EntityType {label: '养殖方式'}),[:具有],"(:Entity {name: '一次性放苗，分级分批渔获', label: '养殖方式'})"
(:EntityType {label: '养殖方式'}),[:具有],"(:Entity {name: '海水网箱养殖', label: '养殖方式'})"
(:EntityType {label: '养殖方式'}),[:具有],"(:Entity {name: '深海智慧网箱养殖', label: '养殖方式'})"
(:EntityType {label: '养殖方式'}),[:具有],"(:Entity {name: '智慧网箱养殖', label: '养殖方式'})"
(:EntityType {label: '养殖方式'}),[:具有],"(:Entity {name: '海网箱养殖', label: '养殖方式'})"
(:EntityType {label: '养殖方式'}),[:具有],"(:Entity {name: '池塘放养', label: '养殖方式'})"
(:EntityType {label: '养殖方式'}),[:具有],"(:Entity {name: '高位池养殖', label: '养殖方式'})"
(:EntityType {label: '养殖方式'}),[:具有],"(:Entity {name: '深海养殖网箱', label: '养殖方式'})"
(:EntityType {label: '养殖方式'}),[:具有],"(:Entity {name: '养殖网箱', label: '养殖方式'})"
(:EntityType {label: '养殖方式'}),[:具有],"(:Entity {name: '海水池塘养殖', label: '养殖方式'})"
(:EntityType {label: '养殖方式'}),[:具有],"(:Entity {name: '室外土池培育', label: '养殖方式'})"
(:EntityType {label: '分布区域'}),[:具有],"(:Entity {name: '我国沿海地区', label: '分布区域'})"
(:EntityType {label: '分布区域'}),[:具有],"(:Entity {name: '热带及亚热带海域', label: '分布区域'})"
(:EntityType {label: '分布区域'}),[:具有],"(:Entity {name: '中国南方沿海', label: '分布区域'})"
(:EntityType {label: '分布区域'}),[:具有],"(:Entity {name: '广东省湛江市太平镇', label: '分布区域'})"
(:EntityType {label: '分布区域'}),[:具有],"(:Entity {name: '广东省湛江市', label: '分布区域'})"
(:EntityType {label: '分布区域'}),[:具有],"(:Entity {name: '广东', label: '分布区域'})"
(:EntityType {label: '分布区域'}),[:具有],"(:Entity {name: '广西', label: '分布区域'})"
(:EntityType {label: '分布区域'}),[:具有],"(:Entity {name: '福建', label: '分布区域'})"
(:EntityType {label: '分布区域'}),[:具有],"(:Entity {name: '台湾', label: '分布区域'})"
(:EntityType {label: '分布区域'}),[:具有],"(:Entity {name: '海南', label: '分布区域'})"
(:EntityType {label: '分布区域'}),[:具有],"(:Entity {name: '广东惠东', label: '分布区域'})"
(:EntityType {label: '分布区域'}),[:具有],"(:Entity {name: '惠东', label: '分布区域'})"
(:EntityType {label: '分布区域'}),[:具有],"(:Entity {name: '广东惠东南部', label: '分布区域'})"
(:EntityType {label: '分布区域'}),[:具有],"(:Entity {name: '防城港防城区江山镇白龙珍珠湾', label: '分布区域'})"
(:EntityType {label: '分布区域'}),[:具有],"(:Entity {name: '大亚湾', label: '分布区域'})"
(:EntityType {label: '分布区域'}),[:具有],"(:Entity {name: '海南三亚', label: '分布区域'})"
(:EntityType {label: '分布区域'}),[:具有],"(:Entity {name: '珍珠湾', label: '分布区域'})"
(:EntityType {label: '分布区域'}),[:具有],"(:Entity {name: '茂名市', label: '分布区域'})"
(:EntityType {label: '分布区域'}),[:具有],"(:Entity {name: '大放鸡岛西面', label: '分布区域'})"
(:EntityType {label: '分布区域'}),[:具有],"(:Entity {name: '广东茂名', label: '分布区域'})"
(:EntityType {label: '分布区域'}),[:具有],"(:Entity {name: '世界各大洋', label: '分布区域'})"
(:EntityType {label: '分布区域'}),[:具有],"(:Entity {name: '东南亚', label: '分布区域'})"
(:EntityType {label: '分布区域'}),[:具有],"(:Entity {name: '澳大利亚', label: '分布区域'})"
(:EntityType {label: '分布区域'}),[:具有],"(:Entity {name: '日本', label: '分布区域'})"
(:EntityType {label: '分布区域'}),[:具有],"(:Entity {name: '美洲热带和温带', label: '分布区域'})"
(:EntityType {label: '分布区域'}),[:具有],"(:Entity {name: '大西洋海岸', label: '分布区域'})"
(:EntityType {label: '分布区域'}),[:具有],"(:Entity {name: '非洲西岸', label: '分布区域'})"
(:EntityType {label: '分布区域'}),[:具有],"(:Entity {name: '东海', label: '分布区域'})"
(:EntityType {label: '分布区域'}),[:具有],"(:Entity {name: '南海', label: '分布区域'})"
(:EntityType {label: '分布区域'}),[:具有],"(:Entity {name: '黄海', label: '分布区域'})"
(:EntityType {label: '分布区域'}),[:具有],"(:Entity {name: '台湾省', label: '分布区域'})"
(:EntityType {label: '分布区域'}),[:具有],"(:Entity {name: '海南省三亚', label: '分布区域'})"
(:EntityType {label: '分布区域'}),[:具有],"(:Entity {name: '地中海', label: '分布区域'})"
(:EntityType {label: '分布区域'}),[:具有],"(:Entity {name: '热带和亚热带海域', label: '分布区域'})"
(:EntityType {label: '分布区域'}),[:具有],"(:Entity {name: '徐闻', label: '分布区域'})"
(:EntityType {label: '分布区域'}),[:具有],"(:Entity {name: '东南亚诸国', label: '分布区域'})"
(:EntityType {label: '分布区域'}),[:具有],"(:Entity {name: '热带', label: '分布区域'})"
(:EntityType {label: '分布区域'}),[:具有],"(:Entity {name: '亚热带', label: '分布区域'})"
(:EntityType {label: '分布区域'}),[:具有],"(:Entity {name: '渤海', label: '分布区域'})"
(:EntityType {label: '分布区域'}),[:具有],"(:Entity {name: '粤', label: '分布区域'})"
(:EntityType {label: '分布区域'}),[:具有],"(:Entity {name: '闽', label: '分布区域'})"
(:EntityType {label: '分布区域'}),[:具有],"(:Entity {name: '琼', label: '分布区域'})"
(:EntityType {label: '分布区域'}),[:具有],"(:Entity {name: '桂', label: '分布区域'})"
(:EntityType {label: '分布区域'}),[:具有],"(:Entity {name: '台', label: '分布区域'})"
(:EntityType {label: '分布区域'}),[:具有],"(:Entity {name: '港', label: '分布区域'})"
(:EntityType {label: '分布区域'}),[:具有],"(:Entity {name: '澳', label: '分布区域'})"
(:EntityType {label: '分布区域'}),[:具有],"(:Entity {name: '南方沿海', label: '分布区域'})"
(:EntityType {label: '分布区域'}),[:具有],"(:Entity {name: '阳江', label: '分布区域'})"
(:EntityType {label: '分布区域'}),[:具有],"(:Entity {name: '湛江港', label: '分布区域'})"
(:EntityType {label: '分布区域'}),[:具有],"(:Entity {name: '阳江闸坡', label: '分布区域'})"
(:EntityType {label: '分布区域'}),[:具有],"(:Entity {name: '海南省三亚凌水', label: '分布区域'})"
(:EntityType {label: '分布区域'}),[:具有],"(:Entity {name: '海南省凌水', label: '分布区域'})"
(:EntityType {label: '分布区域'}),[:具有],"(:Entity {name: '粤东', label: '分布区域'})"
(:EntityType {label: '分布区域'}),[:具有],"(:Entity {name: '粤西', label: '分布区域'})"
(:EntityType {label: '分布区域'}),[:具有],"(:Entity {name: '澳洲', label: '分布区域'})"
(:EntityType {label: '分布区域'}),[:具有],"(:Entity {name: '美洲', label: '分布区域'})"
(:EntityType {label: '分布区域'}),[:具有],"(:Entity {name: '印度洋', label: '分布区域'})"
(:EntityType {label: '分布区域'}),[:具有],"(:Entity {name: '印度尼西亚', label: '分布区域'})"
(:EntityType {label: '分布区域'}),[:具有],"(:Entity {name: '热带及温带的大西洋海岸', label: '分布区域'})"
(:EntityType {label: '分布区域'}),[:具有],"(:Entity {name: '黄渤海', label: '分布区域'})"
(:EntityType {label: '分布区域'}),[:具有],"(:Entity {name: '美洲的热带', label: '分布区域'})"
(:EntityType {label: '分布区域'}),[:具有],"(:Entity {name: '温带的大西洋海岸', label: '分布区域'})"
(:EntityType {label: '分布区域'}),[:具有],"(:Entity {name: '中国南方', label: '分布区域'})"
(:EntityType {label: '分布区域'}),[:具有],"(:Entity {name: '中国台湾', label: '分布区域'})"
(:EntityType {label: '分布区域'}),[:具有],"(:Entity {name: '马来西亚', label: '分布区域'})"
(:EntityType {label: '分布区域'}),[:具有],"(:Entity {name: '新加坡', label: '分布区域'})"
(:EntityType {label: '分布区域'}),[:具有],"(:Entity {name: '深圳', label: '分布区域'})"
(:EntityType {label: '分布区域'}),[:具有],"(:Entity {name: '湛江', label: '分布区域'})"
(:EntityType {label: '分布区域'}),[:具有],"(:Entity {name: '饶平', label: '分布区域'})"
(:EntityType {label: '分布区域'}),[:具有],"(:Entity {name: '茂名', label: '分布区域'})"
(:EntityType {label: '分布区域'}),[:具有],"(:Entity {name: '暖水性', label: '分布区域'})"
(:EntityType {label: '分布区域'}),[:具有],"(:Entity {name: '太平洋', label: '分布区域'})"
(:EntityType {label: '分布区域'}),[:具有],"(:Entity {name: '大西洋热带', label: '分布区域'})"
(:EntityType {label: '分布区域'}),[:具有],"(:Entity {name: '美洲热带', label: '分布区域'})"
(:EntityType {label: '分布区域'}),[:具有],"(:Entity {name: '阿尔巴尼亚', label: '分布区域'})"
(:EntityType {label: '分布区域'}),[:具有],"(:Entity {name: '阿尔及利亚', label: '分布区域'})"
(:EntityType {label: '分布区域'}),[:具有],"(:Entity {name: '安哥拉', label: '分布区域'})"
(:EntityType {label: '分布区域'}),[:具有],"(:Entity {name: '比利时', label: '分布区域'})"
(:EntityType {label: '分布区域'}),[:具有],"(:Entity {name: '贝宁', label: '分布区域'})"
(:EntityType {label: '分布区域'}),[:具有],"(:Entity {name: '佛得角', label: '分布区域'})"
(:EntityType {label: '分布区域'}),[:具有],"(:Entity {name: '喀麦隆', label: '分布区域'})"
(:EntityType {label: '分布区域'}),[:具有],"(:Entity {name: '刚果', label: '分布区域'})"
(:EntityType {label: '分布区域'}),[:具有],"(:Entity {name: '刚果民主共和国', label: '分布区域'})"
(:EntityType {label: '分布区域'}),[:具有],"(:Entity {name: '克罗地亚', label: '分布区域'})"
(:EntityType {label: '分布区域'}),[:具有],"(:Entity {name: '塞浦路斯', label: '分布区域'})"
(:EntityType {label: '分布区域'}),[:具有],"(:Entity {name: '科特迪瓦', label: '分布区域'})"
(:EntityType {label: '分布区域'}),[:具有],"(:Entity {name: '丹麦', label: '分布区域'})"
(:EntityType {label: '分布区域'}),[:具有],"(:Entity {name: '埃及', label: '分布区域'})"
(:EntityType {label: '分布区域'}),[:具有],"(:Entity {name: '赤道几内亚', label: '分布区域'})"
(:EntityType {label: '分布区域'}),[:具有],"(:Entity {name: '法国', label: '分布区域'})"
(:EntityType {label: '分布区域'}),[:具有],"(:Entity {name: '加蓬', label: '分布区域'})"
(:EntityType {label: '分布区域'}),[:具有],"(:Entity {name: '冈比亚', label: '分布区域'})"
(:EntityType {label: '分布区域'}),[:具有],"(:Entity {name: '德国', label: '分布区域'})"
(:EntityType {label: '分布区域'}),[:具有],"(:Entity {name: '加纳', label: '分布区域'})"
(:EntityType {label: '分布区域'}),[:具有],"(:Entity {name: '直布罗陀', label: '分布区域'})"
(:EntityType {label: '分布区域'}),[:具有],"(:Entity {name: '希腊', label: '分布区域'})"
(:EntityType {label: '分布区域'}),[:具有],"(:Entity {name: '根西岛', label: '分布区域'})"
(:EntityType {label: '分布区域'}),[:具有],"(:Entity {name: '几内亚', label: '分布区域'})"
(:EntityType {label: '分布区域'}),[:具有],"(:Entity {name: '几内亚比绍', label: '分布区域'})"
(:EntityType {label: '分布区域'}),[:具有],"(:Entity {name: '爱尔兰', label: '分布区域'})"
(:EntityType {label: '分布区域'}),[:具有],"(:Entity {name: '以色列', label: '分布区域'})"
(:EntityType {label: '分布区域'}),[:具有],"(:Entity {name: '意大利', label: '分布区域'})"
(:EntityType {label: '分布区域'}),[:具有],"(:Entity {name: '泽西岛', label: '分布区域'})"
(:EntityType {label: '分布区域'}),[:具有],"(:Entity {name: '黎巴嫩', label: '分布区域'})"
(:EntityType {label: '分布区域'}),[:具有],"(:Entity {name: '利比里亚', label: '分布区域'})"
(:EntityType {label: '分布区域'}),[:具有],"(:Entity {name: '利比亚', label: '分布区域'})"
(:EntityType {label: '分布区域'}),[:具有],"(:Entity {name: '马耳他', label: '分布区域'})"
(:EntityType {label: '分布区域'}),[:具有],"(:Entity {name: '毛里塔尼亚', label: '分布区域'})"
(:EntityType {label: '分布区域'}),[:具有],"(:Entity {name: '摩纳哥', label: '分布区域'})"
(:EntityType {label: '分布区域'}),[:具有],"(:Entity {name: '黑山共和国', label: '分布区域'})"
(:EntityType {label: '分布区域'}),[:具有],"(:Entity {name: '摩洛哥', label: '分布区域'})"
(:EntityType {label: '分布区域'}),[:具有],"(:Entity {name: '荷兰', label: '分布区域'})"
(:EntityType {label: '分布区域'}),[:具有],"(:Entity {name: '尼日利亚', label: '分布区域'})"
(:EntityType {label: '分布区域'}),[:具有],"(:Entity {name: '挪威', label: '分布区域'})"
(:EntityType {label: '分布区域'}),[:具有],"(:Entity {name: '葡萄牙', label: '分布区域'})"
(:EntityType {label: '分布区域'}),[:具有],"(:Entity {name: '马德拉', label: '分布区域'})"
(:EntityType {label: '分布区域'}),[:具有],"(:Entity {name: '葡萄牙大陆', label: '分布区域'})"
(:EntityType {label: '分布区域'}),[:具有],"(:Entity {name: '圣海伦娜', label: '分布区域'})"
(:EntityType {label: '分布区域'}),[:具有],"(:Entity {name: '阿森松', label: '分布区域'})"
(:EntityType {label: '分布区域'}),[:具有],"(:Entity {name: '特里斯坦达库尼亚', label: '分布区域'})"
(:EntityType {label: '分布区域'}),[:具有],"(:Entity {name: '圣海伦娜主岛', label: '分布区域'})"
(:EntityType {label: '分布区域'}),[:具有],"(:Entity {name: '圣多美和普林西比', label: '分布区域'})"
(:EntityType {label: '分布区域'}),[:具有],"(:Entity {name: '塞内加尔', label: '分布区域'})"
(:EntityType {label: '分布区域'}),[:具有],"(:Entity {name: '塞尔维亚', label: '分布区域'})"
(:EntityType {label: '分布区域'}),[:具有],"(:Entity {name: '塞拉利昂', label: '分布区域'})"
(:EntityType {label: '分布区域'}),[:具有],"(:Entity {name: '西班牙', label: '分布区域'})"
(:EntityType {label: '分布区域'}),[:具有],"(:Entity {name: '加那利群岛', label: '分布区域'})"
(:EntityType {label: '分布区域'}),[:具有],"(:Entity {name: '西班牙大陆', label: '分布区域'})"
(:EntityType {label: '分布区域'}),[:具有],"(:Entity {name: '瑞典', label: '分布区域'})"
(:EntityType {label: '分布区域'}),[:具有],"(:Entity {name: '阿拉伯叙利亚共和国', label: '分布区域'})"
(:EntityType {label: '分布区域'}),[:具有],"(:Entity {name: '多哥', label: '分布区域'})"
(:EntityType {label: '分布区域'}),[:具有],"(:Entity {name: '突尼斯', label: '分布区域'})"
(:EntityType {label: '分布区域'}),[:具有],"(:Entity {name: '土耳其', label: '分布区域'})"
(:EntityType {label: '分布区域'}),[:具有],"(:Entity {name: '英国', label: '分布区域'})"
(:EntityType {label: '分布区域'}),[:具有],"(:Entity {name: '西撒哈拉', label: '分布区域'})"
(:EntityType {label: '分布区域'}),[:具有],"(:Entity {name: '浙江', label: '分布区域'})"
(:EntityType {label: '分布区域'}),[:具有],"(:Entity {name: '印度尼西亚的热带', label: '分布区域'})"
(:EntityType {label: '分布区域'}),[:具有],"(:Entity {name: '中国的黄渤海', label: '分布区域'})"
(:EntityType {label: '分布区域'}),[:具有],"(:Entity {name: '三亚市', label: '分布区域'})"
(:EntityType {label: '分布区域'}),[:具有],"(:Entity {name: '陵水县', label: '分布区域'})"
(:EntityType {label: '分布区域'}),[:具有],"(:Entity {name: '澳洲热带', label: '分布区域'})"
(:EntityType {label: '分布区域'}),[:具有],"(:Entity {name: '中国的东海、南海', label: '分布区域'})"
(:EntityType {label: '分布区域'}),[:具有],"(:Entity {name: '中国的东海', label: '分布区域'})"
(:EntityType {label: '分布区域'}),[:具有],"(:Entity {name: '福建沿海', label: '分布区域'})"
(:EntityType {label: '分布区域'}),[:具有],"(:Entity {name: '广西北海', label: '分布区域'})"
(:EntityType {label: '分布区域'}),[:具有],"(:Entity {name: '广西北海市铁山港', label: '分布区域'})"
(:EntityType {label: '分布区域'}),[:具有],"(:Entity {name: '广西北海市', label: '分布区域'})"
(:EntityType {label: '分布区域'}),[:具有],"(:Entity {name: '大西洋的热带和温带海域', label: '分布区域'})"
(:EntityType {label: '分布区域'}),[:具有],"(:Entity {name: '海南临高县新盈海域', label: '分布区域'})"
(:EntityType {label: '分布区域'}),[:具有],"(:Entity {name: '海南临高', label: '分布区域'})"
(:EntityType {label: '分布区域'}),[:具有],"(:Entity {name: '大西洋的暖海中上层区域', label: '分布区域'})"
(:EntityType {label: '分布区域'}),[:具有],"(:Entity {name: '大西洋的温带及热带海域', label: '分布区域'})"
(:EntityType {label: '分布区域'}),[:具有],"(:Entity {name: '南方沿海地区', label: '分布区域'})"
(:EntityType {label: '分布区域'}),[:具有],"(:Entity {name: '大西洋的热带、亚热带和温带', label: '分布区域'})"
(:EntityType {label: '分布区域'}),[:具有],"(:Entity {name: '广东省徐闻县', label: '分布区域'})"
(:EntityType {label: '分布区域'}),[:具有],"(:Entity {name: '太平洋和大西洋的热带及温带', label: '分布区域'})"
(:EntityType {label: '分布区域'}),[:具有],"(:Entity {name: '我国南方沿海地区', label: '分布区域'})"
(:EntityType {label: '分布区域'}),[:具有],"(:Entity {name: '海南昌江棋子湾', label: '分布区域'})"
(:EntityType {label: '分布区域'}),[:具有],"(:Entity {name: '中国南方地区', label: '分布区域'})"
(:EntityType {label: '分布区域'}),[:具有],"(:Entity {name: '海南临高县桥头镇', label: '分布区域'})"
(:EntityType {label: '分布区域'}),[:具有],"(:Entity {name: '海南省', label: '分布区域'})"
(:EntityType {label: '分布区域'}),[:具有],"(:Entity {name: '海南临高县', label: '分布区域'})"
(:EntityType {label: '分布区域'}),[:具有],"(:Entity {name: '海南省临高县', label: '分布区域'})"
(:EntityType {label: '分布区域'}),[:具有],"(:Entity {name: '湛江市太平镇', label: '分布区域'})"
(:EntityType {label: '分布区域'}),[:具有],"(:Entity {name: '美洲的热带及温带的大西洋海岸', label: '分布区域'})"
(:EntityType {label: '分布区域'}),[:具有],"(:Entity {name: '大西洋热带和温带', label: '分布区域'})"
(:EntityType {label: '分布区域'}),[:具有],"(:Entity {name: '阿森松和特里斯坦达库尼亚', label: '分布区域'})"
(:EntityType {label: '常见疾病'}),[:具有],"(:Entity {name: '肠炎', label: '常见疾病'})"
(:EntityType {label: '常见疾病'}),[:具有],"(:Entity {name: '链球菌病', label: '常见疾病'})"
(:EntityType {label: '常见疾病'}),[:具有],"(:Entity {name: '海豚链球菌病', label: '常见疾病'})"
(:EntityType {label: '常见疾病'}),[:具有],"(:Entity {name: '海豚链球菌', label: '常见疾病'})"
(:EntityType {label: '常见疾病'}),[:具有],"(:Entity {name: '鰤鱼诺卡氏菌', label: '常见疾病'})"
(:EntityType {label: '常见疾病'}),[:具有],"(:Entity {name: '神经坏死病毒', label: '常见疾病'})"
(:EntityType {label: '常见疾病'}),[:具有],"(:Entity {name: '刺激隐核虫', label: '常见疾病'})"
(:EntityType {label: '常见疾病'}),[:具有],"(:Entity {name: '车轮虫', label: '常见疾病'})"
(:EntityType {label: '常见疾病'}),[:具有],"(:Entity {name: '链球菌', label: '常见疾病'})"
(:EntityType {label: '常见疾病'}),[:具有],"(:Entity {name: '海豚链 球菌', label: '常见疾病'})"
(:EntityType {label: '常见疾病'}),[:具有],"(:Entity {name: '小瓜虫病', label: '常见疾病'})"
(:EntityType {label: '常见疾病'}),[:具有],"(:Entity {name: '指环虫病', label: '常见疾病'})"
(:EntityType {label: '常见疾病'}),[:具有],"(:Entity {name: '瓣体虫病', label: '常见疾病'})"
(:EntityType {label: '常见疾病'}),[:具有],"(:Entity {name: '车轮虫病', label: '常见疾病'})"
(:EntityType {label: '常见疾病'}),[:具有],"(:Entity {name: '皮肤溃疡病', label: '常见疾病'})"
(:EntityType {label: '常见疾病'}),[:具有],"(:Entity {name: '诺达病毒', label: '常见疾病'})"
(:EntityType {label: '常见疾病'}),[:具有],"(:Entity {name: '疖疮', label: '常见疾病'})"
(:EntityType {label: '常见疾病'}),[:具有],"(:Entity {name: '神经坏死病', label: '常见疾病'})"
(:EntityType {label: '常见疾病'}),[:具有],"(:Entity {name: '肠炎病', label: '常见疾病'})"
(:EntityType {label: '常见疾病'}),[:具有],"(:Entity {name: '脂肪肝病', label: '常见疾病'})"
(:EntityType {label: '常见疾病'}),[:具有],"(:Entity {name: '诺卡氏菌病', label: '常见疾病'})"
(:EntityType {label: '常见疾病'}),[:具有],"(:Entity {name: '鱼类神经坏死病毒', label: '常见疾病'})"
(:EntityType {label: '常见疾病'}),[:具有],"(:Entity {name: '结节病', label: '常见疾病'})"
(:EntityType {label: '常见疾病'}),[:具有],"(:Entity {name: '发光杆菌病', label: '常见疾病'})"
(:EntityType {label: '常见疾病'}),[:具有],"(:Entity {name: '嗜麦芽寡养单胞菌病', label: '常见疾病'})"
(:EntityType {label: '常见疾病'}),[:具有],"(:Entity {name: '寄生虫病', label: '常见疾病'})"
(:EntityType {label: '常见疾病'}),[:具有],"(:Entity {name: '刺激隐核虫病', label: '常见疾病'})"
(:EntityType {label: '常见疾病'}),[:具有],"(:Entity {name: '海水小瓜虫病', label: '常见疾病'})"
(:EntityType {label: '常见疾病'}),[:具有],"(:Entity {name: '海水白点病', label: '常见疾病'})"
(:EntityType {label: '常见疾病'}),[:具有],"(:Entity {name: '本尼登虫病', label: '常见疾病'})"
(:EntityType {label: '常见疾病'}),[:具有],"(:Entity {name: '传染性疾病', label: '常见疾病'})"
(:EntityType {label: '常见疾病'}),[:具有],"(:Entity {name: '隐核虫病', label: '常见疾病'})"
(:EntityType {label: '常见疾病'}),[:具有],"(:Entity {name: '海水小瓜虫', label: '常见疾病'})"
(:EntityType {label: '常见疾病'}),[:具有],"(:Entity {name: '白点病', label: '常见疾病'})"
(:EntityType {label: '常见疾病'}),[:具有],"(:Entity {name: '烂鳃病', label: '常见疾病'})"
(:EntityType {label: '常见疾病'}),[:具有],"(:Entity {name: '烂尾病', label: '常见疾病'})"
(:EntityType {label: '常见疾病'}),[:具有],"(:Entity {name: '弧菌病', label: '常见疾病'})"
(:EntityType {label: '常见疾病'}),[:具有],"(:Entity {name: '疖疮病', label: '常见疾病'})"
(:EntityType {label: '常见疾病'}),[:具有],"(:Entity {name: '疮病', label: '常见疾病'})"
(:EntityType {label: '常见疾病'}),[:具有],"(:Entity {name: '细菌疾病', label: '常见疾病'})"
(:EntityType {label: '常见疾病'}),[:具有],"(:Entity {name: '病毒性神经坏死病', label: '常见疾病'})"
(:EntityType {label: '常见疾病'}),[:具有],"(:Entity {name: '细菌性疾病', label: '常见疾病'})"
(:EntityType {label: '常见疾病'}),[:具有],"(:Entity {name: '巴斯德杆菌病', label: '常见疾病'})"
(:EntityType {label: '常见疾病'}),[:具有],"(:Entity {name: '烂身病', label: '常见疾病'})"
(:EntityType {label: '常见疾病'}),[:具有],"(:Entity {name: '疥疮病', label: '常见疾病'})"
(:EntityType {label: '常见疾病'}),[:具有],"(:Entity {name: '败血症', label: '常见疾病'})"
(:EntityType {label: '常见疾病'}),[:具有],"(:Entity {name: '创伤感染', label: '常见疾病'})"
(:EntityType {label: '常见疾病'}),[:具有],"(:Entity {name: '细菌性败血', label: '常见疾病'})"
(:EntityType {label: '常见疾病'}),[:具有],"(:Entity {name: '皮肤溃疡', label: '常见疾病'})"
(:EntityType {label: '常见疾病'}),[:具有],"(:Entity {name: '白内障', label: '常见疾病'})"
(:EntityType {label: '常见疾病'}),[:具有],"(:Entity {name: '冻疮', label: '常见疾病'})"
(:EntityType {label: '常见疾病'}),[:具有],"(:Entity {name: '白芝麻病', label: '常见疾病'})"
(:EntityType {label: '常见疾病'}),[:具有],"(:Entity {name: '白斑病', label: '常见疾病'})"
(:EntityType {label: '常见疾病'}),[:具有],"(:Entity {name: '病毒病', label: '常见疾病'})"
(:EntityType {label: '常见疾病'}),[:具有],"(:Entity {name: '细菌病', label: '常见疾病'})"
